section,name,total_ns,total_ms,count,pct_of_section,category
kernel,"sd::<unnamed>::fused_wh_ratio_kernel(const float *, const float *, const float *, float *, int, int, int)",5453946606,5453.947,600,54.06,NMF elementwise
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params),1938773931,1938.774,300,19.22,GEMM
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align1>(T1::Params),1136737980,1136.738,300,11.27,GEMM
kernel,"sd::<unnamed>::distance_batched_kernel(const float *, int, const float *, int, int, float *)",812205601,812.206,14,8.05,distance/znorm
kernel,"sd::<unnamed>::dtw_band_kernel(int, int, int, int, const float *, float4 *)",469265788,469.266,14,4.65,DTW
kernel,"sd::<unnamed>::update_h_batched_kernel(float *, const float *, const float *, int)",99480651,99.481,600,0.99,NMF elementwise
kernel,"sd::<unnamed>::row_sum_batched_kernel(const float *, int, int, float *)",38562380,38.562,600,0.38,NMF elementwise
kernel,"sd::<unnamed>::col_sum_batched_kernel(const float *, int, int, float *)",32297819,32.298,600,0.32,NMF elementwise
kernel,"sd::<unnamed>::update_w_batched_kernel(float *, const float *, const float *, int, int, int)",28231947,28.232,600,0.28,NMF elementwise
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nt_align1>(T1::Params),24803378,24.803,240,0.25,GEMM
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align1>(T1::Params),21050901,21.051,240,0.21,GEMM
kernel,"sd::<unnamed>::max_normalize_batched_kernel(float *, int, int, int)",8303695,8.304,10,0.08,NMF elementwise
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_32x6_tn_align4>(T1::Params),5871983,5.872,60,0.06,GEMM
kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x10_nt_align4>(T1::Params),5315412,5.315,60,0.05,GEMM
kernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",3771256,3.771,480,0.04,GEMM
kernel,"sd::<unnamed>::magnitude_kernel(const float2 *, int, float *)",3697399,3.697,6,0.04,STFT
kernel,"sd::<unnamed>::normalize_fixed_columns_batched_kernel(float *, int, int, int)",1624734,1.625,5,0.02,NMF elementwise
kernel,"sd::<unnamed>::window_frames_kernel(const float *, int, float *)",1536475,1.536,6,0.02,STFT
kernel,"sd::<unnamed>::znorm_batched_kernel(const float *, int, int, int, int, float *)",1513021,1.513,10,0.01,distance/znorm
kernel,"void vector_fft_symm_r2c<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)10, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)",1502236,1.502,6,0.01,STFT
kernel,"sd::<unnamed>::pitch_templates_batched_kernel(const float *, float *, int, int, int, int)",417856,0.418,5,0.00,other kernels
kernel,"sd::<unnamed>::normalize_columns_kernel(float *, int, int, float *, int)",116191,0.116,5,0.00,NMF elementwise
memop,[CUDA memcpy Host-to-Device],60537673,60.538,33,97.97,memcpy/memset
memop,[CUDA memcpy Device-to-Device],1005950,1.006,5,1.63,memcpy/memset
memop,[CUDA memset],157474,0.157,120,0.25,memcpy/memset
memop,[CUDA memcpy Device-to-Host],88799,0.089,14,0.14,memcpy/memset
api,cudaDeviceSynchronize,10043348164,10043.348,30,,
api,cudaFree,91606750,91.607,129,,
api,cudaMemcpy,61490302,61.490,45,,
api,cudaMalloc,48426539,48.427,131,,
api,cudaLaunchKernel,22004364,22.004,3555,,
api,cuLibraryLoadData,20182299,20.182,4,,
api,cuKernelGetFunction,6946167,6.946,1200,,
api,cuLaunchKernel,6312799,6.313,1206,,
api,cuModuleLoadData,3056269,3.056,6,,
api,cuModuleUnload,1645866,1.646,6,,
api,cuMemcpyHtoD_v2,1303368,1.303,7,,
api,cuMemFree_v2,1193308,1.193,7,,
api,cudaStreamGetCaptureInfo_v2_v11030,1132770,1.133,3480,,
api,cuMemAlloc_v2,1009094,1.009,7,,
api,cudaEventRecord,631377,0.631,600,,
api,cudaMemsetAsync,442125,0.442,120,,
api,cuGetProcAddress_v2,151663,0.152,810,,
api,cuMemGetInfo_v2,111305,0.111,6,,
api,cudaEventQuery,11513,0.012,2,,
api,cudaEventCreateWithFlags,10729,0.011,18,,
api,cuInit,10267,0.010,4,,
api,cuLibraryGetKernel,10127,0.010,10,,
api,cuCtxSetCurrent,3961,0.004,6,,
api,cuModuleGetLoadingMode,2379,0.002,3,,
api,cudaGetDriverEntryPoint_v11030,1925,0.002,2,,
category,GEMM,3136324841,3136.325,,,
category,NMF elementwise,5662564023,5662.564,,,
category,DTW,469265788,469.266,,,
category,distance/znorm,813718622,813.719,,,
category,STFT,6736110,6.736,,,
category,other kernels,417856,0.418,,,
category,memcpy/memset,61789896,61.790,,,
category,GPU idle (est.),3987739527,3987.740,,,
wall,cuda_active_span,14138556663,14138.557,,,
